MFGPCox,DeepBrch,NNJoint,DeepSurv
0.0,0.0,0.0,0.013333333333333197
0.0,0.0,0.026666666666666616,0.026666666666666616
0.0,0.0,0.013333333333333197,0.013333333333333197
0.0,0.0,0.0,0.0
0.0,0.0,0.013333333333333197,0.0
0.0,0.0,0.013333333333333197,0.026666666666666616
0.0,0.0,0.013333333333333197,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.013333333333333197,0.026666666666666616
0.0,0.0,0.013333333333333197,0.013333333333333197
0.0,0.0,0.013333333333333197,0.040000000000000036
0.0,0.0,0.0,0.026666666666666616
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.040000000000000036
0.0,0.0,0.0,0.040000000000000036
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.013333333333333197
0.0,0.0,0.0,0.05333333333333323
0.0,0.0,0.013333333333333197,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.013333333333333197
0.0,0.0,0.026666666666666616,0.026666666666666616
0.0,0.0,0.026666666666666616,0.040000000000000036
0.0,0.0,0.013333333333333197,0.040000000000000036
0.0,0.0,0.013333333333333197,0.026666666666666616
0.0,0.0,0.013333333333333197,0.013333333333333197
0.0,0.0,0.0,0.026666666666666616
0.0,0.0,0.0,0.0
0.0,0.0,0.013333333333333197,0.013333333333333197
0.0,0.0,0.0,0.0
0.0,0.0,0.040000000000000036,0.05333333333333323
0.0,0.0,0.0,0.013333333333333197
0.0,0.0,0.026666666666666616,0.026666666666666616
0.0,0.0,0.0,0.013333333333333197
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.06666666666666676,0.06666666666666676
0.0,0.0,0.026666666666666616,0.040000000000000036
0.0,0.0,0.10666666666666669,0.10666666666666669
0.0,0.0,0.040000000000000036,0.05333333333333323
0.0,0.0,0.06666666666666676,0.06666666666666676
0.0,0.0,0.05333333333333323,0.05333333333333323
0.0,0.0,0.07999999999999996,0.09333333333333338
0.0,0.0,0.06666666666666676,0.05333333333333323
0.0,0.0,0.040000000000000036,0.040000000000000036
0.0,0.0,0.09333333333333338,0.06666666666666676
0.0,0.0,0.10666666666666669,0.06666666666666676
0.0,0.0,0.013333333333333197,0.05333333333333323
0.0,0.0,0.05333333333333323,0.06666666666666676
0.0,0.0,0.05333333333333323,0.06666666666666676
0.0,0.0,0.06666666666666676,0.06666666666666676
0.0,0.0,0.06666666666666676,0.026666666666666616
0.0,0.0,0.07999999999999996,0.06666666666666676
0.0,0.0,0.09333333333333338,0.07999999999999996
0.0,0.0,0.10666666666666669,0.06666666666666676
0.0,0.0,0.10666666666666669,0.06666666666666676
0.0,0.0,0.07999999999999996,0.09333333333333338
0.0,0.0,0.05333333333333323,0.040000000000000036
0.0,0.0,0.06666666666666676,0.040000000000000036
0.0,0.0,0.09333333333333338,0.07999999999999996
0.0,0.0,0.09333333333333338,0.09333333333333338
0.0,0.0,0.06666666666666676,0.05333333333333323
0.0,0.0,0.040000000000000036,0.013333333333333197
0.0,0.0,0.1333333333333333,0.12
0.0,0.0,0.05333333333333323,0.07999999999999996
0.0,0.0,0.013333333333333197,0.040000000000000036
0.0,0.0,0.07999999999999996,0.06666666666666676
0.0,0.0,0.06666666666666676,0.06666666666666676
0.0,0.0,0.07999999999999996,0.07999999999999996
0.0,0.0,0.06666666666666676,0.06666666666666676
0.0,0.0,0.10666666666666669,0.06666666666666676
0.0,0.0,0.05333333333333323,0.026666666666666616
0.0,0.0,0.06666666666666676,0.10666666666666669
0.0,0.0,0.06666666666666676,0.06666666666666676
0.0,0.0,0.07999999999999996,0.06666666666666676
0.0,0.0,0.12,0.09333333333333338
